CookerStat, GenerateAssetRegistry=0.123195, Initialize=0.496861, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_0, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_N.uasset, AutoPackageBackupDelegate=0.259206, FlushAsyncLoading=0.004075, FlushStreamingFunc=0.057667, BlockTillAllRequestsFinished=0.009611, ResetLoadersForSaveUnMarkAllObjects=0.609573, TagPackageExports=0.097569, BeginCacheForCookedPlatformData=0.002909, SerializeImports=0.640154, GatherLocalizableTextData=0.142418, MarkNames=0.022717, SerializeSummary=0.025049, SerializeNames=0.035822, SerializeGatherableTextData=0.002332, BuildExportMap=0.448804, SortExportsNonSeekfree=0.010777, SortExportsSeekfreeConstructor=0.102807, SortExportsSeekfreeInner=0.431333, SortExportsSeekfree=0.004370, BuildDependencyMap=0.017766, SerializeImportMap=0.016309, SerializeExportMap=0.007574, SerializeDependencyMap=0.002332, SerializeStringAssetReferenceMap=0.005532, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.469976, SerializeExports=0.586566, SerializeBulkData=0.013396, MoveFile=5.521104, UnaccountedTime=3.986251, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_1, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_SE.uasset, AutoPackageBackupDelegate=0.253383, FlushAsyncLoading=0.004370, FlushStreamingFunc=0.065818, BlockTillAllRequestsFinished=0.009321, ResetLoadersForSaveUnMarkAllObjects=0.298236, TagPackageExports=0.049513, BeginCacheForCookedPlatformData=0.001457, SerializeImports=0.570837, GatherLocalizableTextData=0.130475, MarkNames=0.021845, SerializeSummary=0.013106, SerializeNames=0.027958, SerializeGatherableTextData=0.001747, BuildExportMap=0.449099, SortExportsNonSeekfree=0.006989, SortExportsSeekfreeConstructor=0.102811, SortExportsSeekfreeInner=0.478223, SortExportsSeekfree=0.002909, BuildDependencyMap=0.013400, SerializeImportMap=0.013396, SerializeExportMap=0.006698, SerializeDependencyMap=0.002332, SerializeStringAssetReferenceMap=0.002328, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.893897, SerializeExports=0.543751, SerializeBulkData=0.003789, MoveFile=5.334418, UnaccountedTime=1.549125, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_2, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_S.uasset, AutoPackageBackupDelegate=0.228919, FlushAsyncLoading=0.002913, FlushStreamingFunc=0.051841, BlockTillAllRequestsFinished=0.007864, ResetLoadersForSaveUnMarkAllObjects=0.265028, TagPackageExports=0.029124, BeginCacheForCookedPlatformData=0.001162, SerializeImports=0.477932, GatherLocalizableTextData=0.084169, MarkNames=0.013981, SerializeSummary=0.009611, SerializeNames=0.018347, SerializeGatherableTextData=0.001166, BuildExportMap=0.210278, SortExportsNonSeekfree=0.005241, SortExportsSeekfreeConstructor=0.080965, SortExportsSeekfreeInner=0.312794, SortExportsSeekfree=0.002041, BuildDependencyMap=0.009902, SerializeImportMap=0.011649, SerializeExportMap=0.006407, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.002038, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.397037, SerializeExports=0.535015, SerializeBulkData=0.003785, MoveFile=5.121809, UnaccountedTime=1.458842, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_3, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_E.uasset, AutoPackageBackupDelegate=0.226587, FlushAsyncLoading=0.003785, FlushStreamingFunc=0.056501, BlockTillAllRequestsFinished=0.007864, ResetLoadersForSaveUnMarkAllObjects=0.270564, TagPackageExports=0.029709, BeginCacheForCookedPlatformData=0.001162, SerializeImports=0.468612, GatherLocalizableTextData=0.087373, MarkNames=0.014272, SerializeSummary=0.010192, SerializeNames=0.018351, SerializeGatherableTextData=0.001457, BuildExportMap=0.216100, SortExportsNonSeekfree=0.004951, SortExportsSeekfreeConstructor=0.066113, SortExportsSeekfreeInner=0.318911, SortExportsSeekfree=0.002041, BuildDependencyMap=0.010483, SerializeImportMap=0.010196, SerializeExportMap=0.005823, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.002038, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.345777, SerializeExports=0.536177, SerializeBulkData=0.003204, MoveFile=5.295683, UnaccountedTime=1.526698, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_4, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_SW.uasset, AutoPackageBackupDelegate=0.215229, FlushAsyncLoading=0.003494, FlushStreamingFunc=0.039026, BlockTillAllRequestsFinished=0.004075, ResetLoadersForSaveUnMarkAllObjects=0.242606, TagPackageExports=0.029124, BeginCacheForCookedPlatformData=0.001162, SerializeImports=0.420850, GatherLocalizableTextData=0.089120, MarkNames=0.014562, SerializeSummary=0.010192, SerializeNames=0.019804, SerializeGatherableTextData=0.001166, BuildExportMap=0.213481, SortExportsNonSeekfree=0.004951, SortExportsSeekfreeConstructor=0.068150, SortExportsSeekfreeInner=0.317458, SortExportsSeekfree=0.002038, BuildDependencyMap=0.009902, SerializeImportMap=0.010774, SerializeExportMap=0.006407, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.002038, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.138118, SerializeExports=0.532102, SerializeBulkData=0.003789, MoveFile=5.593043, UnaccountedTime=1.447771, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_5, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_NW.uasset, AutoPackageBackupDelegate=0.254836, FlushAsyncLoading=0.004079, FlushStreamingFunc=0.056792, BlockTillAllRequestsFinished=0.003494, ResetLoadersForSaveUnMarkAllObjects=0.235617, TagPackageExports=0.029124, BeginCacheForCookedPlatformData=0.001162, SerializeImports=0.480846, GatherLocalizableTextData=0.090577, MarkNames=0.014562, SerializeSummary=0.009902, SerializeNames=0.018638, SerializeGatherableTextData=0.001457, BuildExportMap=0.230376, SortExportsNonSeekfree=0.005532, SortExportsSeekfreeConstructor=0.095528, SortExportsSeekfreeInner=0.376578, SortExportsSeekfree=0.002623, BuildDependencyMap=0.010774, SerializeImportMap=0.013106, SerializeExportMap=0.006989, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.839724, SerializeExports=0.567343, SerializeBulkData=0.004370, MoveFile=5.013756, UnaccountedTime=1.404379, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_6, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_W.uasset, AutoPackageBackupDelegate=0.195716, FlushAsyncLoading=0.002623, FlushStreamingFunc=0.048343, BlockTillAllRequestsFinished=0.003204, ResetLoadersForSaveUnMarkAllObjects=0.214648, TagPackageExports=0.026505, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.415310, GatherLocalizableTextData=0.080675, MarkNames=0.013106, SerializeSummary=0.009906, SerializeNames=0.017766, SerializeGatherableTextData=0.001162, BuildExportMap=0.202414, SortExportsNonSeekfree=0.005245, SortExportsSeekfreeConstructor=0.063200, SortExportsSeekfreeInner=0.294738, SortExportsSeekfree=0.002038, BuildDependencyMap=0.009030, SerializeImportMap=0.015434, SerializeExportMap=0.006698, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.003494, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.495183, SerializeExports=0.691704, SerializeBulkData=0.004951, MoveFile=5.187340, UnaccountedTime=1.527574, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_7, Filename=E:/Github/Jam/Content/Characters/Player/SpriteSheet/FB_Idle_NE.uasset, AutoPackageBackupDelegate=0.198629, FlushAsyncLoading=0.003494, FlushStreamingFunc=0.048056, BlockTillAllRequestsFinished=0.003204, ResetLoadersForSaveUnMarkAllObjects=0.210859, TagPackageExports=0.027087, BeginCacheForCookedPlatformData=0.000872, SerializeImports=0.446480, GatherLocalizableTextData=0.096984, MarkNames=0.013687, SerializeSummary=0.009611, SerializeNames=0.017766, SerializeGatherableTextData=0.001166, BuildExportMap=0.190180, SortExportsNonSeekfree=0.004951, SortExportsSeekfreeConstructor=0.065532, SortExportsSeekfreeInner=0.289787, SortExportsSeekfree=0.002038, BuildDependencyMap=0.009030, SerializeImportMap=0.010487, SerializeExportMap=0.005823, SerializeDependencyMap=0.001166, SerializeStringAssetReferenceMap=0.002328, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.150933, SerializeExports=0.500940, SerializeBulkData=0.003494, MoveFile=4.675627, UnaccountedTime=1.419522, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_8, Filename=E:/Github/Jam/Content/Maps/Test.umap, AutoPackageBackupDelegate=24.959286, FlushAsyncLoading=0.008740, FlushStreamingFunc=0.069316, BlockTillAllRequestsFinished=0.008445, ResetLoadersForSaveUnMarkAllObjects=69.312767, TagPackageExports=1.792606, BeginCacheForCookedPlatformData=0.002038, SerializeImports=3.021944, GatherLocalizableTextData=12.489397, MarkNames=0.088248, SerializeSummary=0.017475, SerializeNames=0.407450, SerializeGatherableTextData=0.042230, BuildExportMap=0.264738, SortExportsNonSeekfree=0.564724, SortExportsSeekfreeConstructor=0.064947, SortExportsSeekfreeInner=31.523333, SortExportsSeekfree=0.003494, BuildDependencyMap=0.092905, SerializeImportMap=0.027668, SerializeExportMap=0.044852, SerializeDependencyMap=0.007279, SerializeStringAssetReferenceMap=0.002038, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.083717, SerializeExports=8.071817, SerializeBulkData=1.469906, MoveFile=4.790958, UnaccountedTime=1.533106, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_9, Filename=E:/Github/Jam/Content/Characters/Player/Player_BP.uasset, AutoPackageBackupDelegate=27.647465, FlushAsyncLoading=0.010774, FlushStreamingFunc=0.120286, BlockTillAllRequestsFinished=0.013106, ResetLoadersForSaveUnMarkAllObjects=0.252798, TagPackageExports=1.553491, BeginCacheForCookedPlatformData=0.002623, SerializeImports=1.980457, GatherLocalizableTextData=2.446447, MarkNames=0.026502, SerializeSummary=0.013106, SerializeNames=0.166591, SerializeGatherableTextData=0.103682, BuildExportMap=0.147663, SortExportsNonSeekfree=0.094362, SortExportsSeekfreeConstructor=0.009321, SortExportsSeekfreeInner=21.954521, SortExportsSeekfree=0.005826, BuildDependencyMap=0.033200, SerializeImportMap=0.018056, SerializeExportMap=0.016019, SerializeDependencyMap=0.095822, SerializeStringAssetReferenceMap=0.003204, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.359684, SerializeExports=2.565563, SerializeBulkData=0.024758, MoveFile=5.495474, UnaccountedTime=1.439326, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_10, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_W.uasset, AutoPackageBackupDelegate=0.245810, FlushAsyncLoading=0.003498, FlushStreamingFunc=0.066109, BlockTillAllRequestsFinished=0.009611, ResetLoadersForSaveUnMarkAllObjects=0.234451, TagPackageExports=0.030290, BeginCacheForCookedPlatformData=0.001162, SerializeImports=0.528026, GatherLocalizableTextData=0.147369, MarkNames=0.017185, SerializeSummary=0.011649, SerializeNames=0.023879, SerializeGatherableTextData=0.001457, BuildExportMap=0.298526, SortExportsNonSeekfree=0.006407, SortExportsSeekfreeConstructor=0.083003, SortExportsSeekfreeInner=0.415314, SortExportsSeekfree=0.002913, BuildDependencyMap=0.011649, SerializeImportMap=0.012815, SerializeExportMap=0.006407, SerializeDependencyMap=0.002038, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.558092, SerializeExports=0.555981, SerializeBulkData=0.003789, MoveFile=5.119771, UnaccountedTime=1.632709, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
