CookerStat, GenerateAssetRegistry=0.115331, Initialize=0.429876, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_0, Filename=E:/Github/Jam/Content/Enviroment/Props/Bed_BP.uasset, AutoPackageBackupDelegate=48.233444, FlushAsyncLoading=0.014562, FlushStreamingFunc=0.091452, BlockTillAllRequestsFinished=0.006113, ResetLoadersForSaveUnMarkAllObjects=0.524823, TagPackageExports=1.583494, BeginCacheForCookedPlatformData=0.002913, SerializeImports=2.325580, GatherLocalizableTextData=2.070449, MarkNames=0.054173, SerializeSummary=0.040192, SerializeNames=0.221055, SerializeGatherableTextData=0.009608, BuildExportMap=0.243772, SortExportsNonSeekfree=0.226587, SortExportsSeekfreeConstructor=0.126403, SortExportsSeekfreeInner=8.165889, SortExportsSeekfree=0.004370, BuildDependencyMap=0.027958, SerializeImportMap=0.014272, SerializeExportMap=0.012811, SerializeDependencyMap=0.002913, SerializeStringAssetReferenceMap=0.002038, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.334639, SerializeExports=1.936771, SerializeBulkData=0.013106, MoveFile=5.925354, UnaccountedTime=1.584075, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_1, Filename=E:/Github/Jam/Content/Enviroment/Props/Bed_BP.uasset, AutoPackageBackupDelegate=39.333042, FlushAsyncLoading=0.004951, FlushStreamingFunc=0.091743, BlockTillAllRequestsFinished=0.011358, ResetLoadersForSaveUnMarkAllObjects=0.215519, TagPackageExports=0.981782, BeginCacheForCookedPlatformData=0.001747, SerializeImports=1.549125, GatherLocalizableTextData=1.359526, MarkNames=0.022426, SerializeSummary=0.011940, SerializeNames=0.138924, SerializeGatherableTextData=0.006117, BuildExportMap=0.108343, SortExportsNonSeekfree=0.109218, SortExportsSeekfreeConstructor=0.075430, SortExportsSeekfreeInner=9.615120, SortExportsSeekfree=0.005241, BuildDependencyMap=0.024464, SerializeImportMap=0.014562, SerializeExportMap=0.017181, SerializeDependencyMap=0.003785, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.378326, SerializeExports=2.673324, SerializeBulkData=0.005536, MoveFile=5.815845, UnaccountedTime=1.659214, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_2, Filename=E:/Github/Jam/Content/Enviroment/Props/Bed_BP.uasset, AutoPackageBackupDelegate=37.197056, FlushAsyncLoading=0.005241, FlushStreamingFunc=0.085335, BlockTillAllRequestsFinished=0.016309, ResetLoadersForSaveUnMarkAllObjects=0.234742, TagPackageExports=1.043525, BeginCacheForCookedPlatformData=0.001751, SerializeImports=1.645234, GatherLocalizableTextData=1.399718, MarkNames=0.022717, SerializeSummary=0.011940, SerializeNames=0.113294, SerializeGatherableTextData=0.005245, BuildExportMap=0.083294, SortExportsNonSeekfree=0.079799, SortExportsSeekfreeConstructor=0.076015, SortExportsSeekfreeInner=7.902317, SortExportsSeekfree=0.003785, BuildDependencyMap=0.020389, SerializeImportMap=0.011940, SerializeExportMap=0.014272, SerializeDependencyMap=0.002328, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.281926, SerializeExports=2.062004, SerializeBulkData=0.004370, MoveFile=6.198831, UnaccountedTime=3.971107, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_3, Filename=E:/Github/Jam/Content/Enviroment/Props/Bed_BP.uasset, AutoPackageBackupDelegate=39.673214, FlushAsyncLoading=0.007279, FlushStreamingFunc=0.087082, BlockTillAllRequestsFinished=0.011940, ResetLoadersForSaveUnMarkAllObjects=0.254259, TagPackageExports=1.520291, BeginCacheForCookedPlatformData=0.002623, SerializeImports=2.099868, GatherLocalizableTextData=1.942012, MarkNames=0.036113, SerializeSummary=0.014562, SerializeNames=0.167757, SerializeGatherableTextData=0.006989, BuildExportMap=0.123195, SortExportsNonSeekfree=0.114750, SortExportsSeekfreeConstructor=0.090867, SortExportsSeekfreeInner=8.634210, SortExportsSeekfree=0.003789, BuildDependencyMap=0.020970, SerializeImportMap=0.011649, SerializeExportMap=0.012815, SerializeDependencyMap=0.002623, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.283089, SerializeExports=1.957156, SerializeBulkData=0.004079, MoveFile=7.384773, UnaccountedTime=2.009291, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_4, Filename=E:/Github/Jam/Content/Enviroment/Props/Bed_BP.uasset, AutoPackageBackupDelegate=45.386246, FlushAsyncLoading=0.005826, FlushStreamingFunc=0.081547, BlockTillAllRequestsFinished=0.010192, ResetLoadersForSaveUnMarkAllObjects=0.235327, TagPackageExports=1.218855, BeginCacheForCookedPlatformData=0.002332, SerializeImports=1.764935, GatherLocalizableTextData=1.401175, MarkNames=0.023007, SerializeSummary=0.013687, SerializeNames=0.124946, SerializeGatherableTextData=0.005532, BuildExportMap=0.090286, SortExportsNonSeekfree=0.086207, SortExportsSeekfreeConstructor=0.070482, SortExportsSeekfreeInner=8.160357, SortExportsSeekfree=0.004370, BuildDependencyMap=0.023298, SerializeImportMap=0.011358, SerializeExportMap=0.013690, SerializeDependencyMap=0.002623, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.317164, SerializeExports=2.010163, SerializeBulkData=0.003785, MoveFile=7.020429, UnaccountedTime=1.766101, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_5, Filename=E:/Github/Jam/Content/Enviroment/Props/Bed_BP.uasset, AutoPackageBackupDelegate=47.124100, FlushAsyncLoading=0.009902, FlushStreamingFunc=0.080384, BlockTillAllRequestsFinished=0.005241, ResetLoadersForSaveUnMarkAllObjects=0.225130, TagPackageExports=1.519710, BeginCacheForCookedPlatformData=0.002623, SerializeImports=1.930363, GatherLocalizableTextData=2.006959, MarkNames=0.037279, SerializeSummary=0.016019, SerializeNames=0.170086, SerializeGatherableTextData=0.007283, BuildExportMap=0.126109, SortExportsNonSeekfree=0.119116, SortExportsSeekfreeConstructor=0.087373, SortExportsSeekfreeInner=10.434970, SortExportsSeekfree=0.008155, BuildDependencyMap=0.032913, SerializeImportMap=0.018641, SerializeExportMap=0.023879, SerializeDependencyMap=0.004079, SerializeStringAssetReferenceMap=0.002619, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.420555, SerializeExports=2.887100, SerializeBulkData=0.009902, MoveFile=6.641232, UnaccountedTime=0.198629, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_6, Filename=E:/Github/Jam/Content/Maps/Test.umap, AutoPackageBackupDelegate=42.122574, FlushAsyncLoading=0.010192, FlushStreamingFunc=0.077471, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=72.907608, TagPackageExports=2.615076, BeginCacheForCookedPlatformData=0.002623, SerializeImports=4.061684, GatherLocalizableTextData=22.315088, MarkNames=0.146497, SerializeSummary=0.022426, SerializeNames=0.694033, SerializeGatherableTextData=0.015434, BuildExportMap=0.504434, SortExportsNonSeekfree=1.240410, SortExportsSeekfreeConstructor=0.102516, SortExportsSeekfreeInner=43.162312, SortExportsSeekfree=0.006117, BuildDependencyMap=1.305643, SerializeImportMap=0.048347, SerializeExportMap=0.065822, SerializeDependencyMap=0.017472, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.631547, SerializeExports=19.374985, SerializeBulkData=29.827137, MoveFile=5.375192, UnaccountedTime=1.779210, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_7, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=0.192802, FlushAsyncLoading=0.003789, FlushStreamingFunc=0.089701, BlockTillAllRequestsFinished=0.009321, ResetLoadersForSaveUnMarkAllObjects=0.230663, TagPackageExports=1.270402, BeginCacheForCookedPlatformData=0.002332, SerializeImports=1.611739, GatherLocalizableTextData=1.289629, MarkNames=0.022717, SerializeSummary=0.013106, SerializeNames=0.096984, SerializeGatherableTextData=0.005241, BuildExportMap=0.081260, SortExportsNonSeekfree=0.085626, SortExportsSeekfreeConstructor=0.067275, SortExportsSeekfreeInner=6.848886, SortExportsSeekfree=0.005241, BuildDependencyMap=0.026796, SerializeImportMap=0.010483, SerializeExportMap=0.012234, SerializeDependencyMap=0.004370, SerializeStringAssetReferenceMap=0.002619, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.401627, SerializeExports=1.874443, SerializeBulkData=0.004660, MoveFile=5.759925, UnaccountedTime=1.438454, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_8, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=48.967960, FlushAsyncLoading=0.011358, FlushStreamingFunc=0.092618, BlockTillAllRequestsFinished=0.004951, ResetLoadersForSaveUnMarkAllObjects=0.231829, TagPackageExports=1.024302, BeginCacheForCookedPlatformData=0.001751, SerializeImports=1.689795, GatherLocalizableTextData=1.341175, MarkNames=0.036113, SerializeSummary=0.013690, SerializeNames=0.108052, SerializeGatherableTextData=0.004660, BuildExportMap=0.080090, SortExportsNonSeekfree=0.079218, SortExportsSeekfreeConstructor=0.062037, SortExportsSeekfreeInner=8.226760, SortExportsSeekfree=0.004366, BuildDependencyMap=0.022717, SerializeImportMap=0.011068, SerializeExportMap=0.012815, SerializeDependencyMap=0.003494, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.308137, SerializeExports=1.804836, SerializeBulkData=0.003785, MoveFile=5.934674, UnaccountedTime=1.808621, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_9, Filename=E:/Github/Jam/Content/Materials/FadeSprite_Mat.uasset, AutoPackageBackupDelegate=0.240859, FlushAsyncLoading=0.003494, FlushStreamingFunc=0.059705, BlockTillAllRequestsFinished=0.008736, ResetLoadersForSaveUnMarkAllObjects=0.219308, TagPackageExports=0.174746, BeginCacheForCookedPlatformData=0.001457, SerializeImports=0.747040, GatherLocalizableTextData=1.133230, MarkNames=0.015434, SerializeSummary=0.009902, SerializeNames=0.082716, SerializeGatherableTextData=0.108924, BuildExportMap=0.068732, SortExportsNonSeekfree=0.069026, SortExportsSeekfreeConstructor=0.008155, SortExportsSeekfreeInner=1.110803, SortExportsSeekfree=0.002913, BuildDependencyMap=0.019513, SerializeImportMap=0.011068, SerializeExportMap=0.013687, SerializeDependencyMap=0.003204, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.049947, SerializeExports=2.224810, SerializeBulkData=0.007864, MoveFile=5.350146, UnaccountedTime=1.765519, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_10, Filename=E:/Github/Jam/Content/Materials/Wall_Base_Inst.uasset, AutoPackageBackupDelegate=44.843372, FlushAsyncLoading=0.009030, FlushStreamingFunc=0.070479, BlockTillAllRequestsFinished=0.009611, ResetLoadersForSaveUnMarkAllObjects=0.527736, TagPackageExports=0.018932, BeginCacheForCookedPlatformData=0.001747, SerializeImports=0.509385, GatherLocalizableTextData=0.100769, MarkNames=0.007864, SerializeSummary=0.012524, SerializeNames=0.034075, SerializeGatherableTextData=0.001457, BuildExportMap=0.020385, SortExportsNonSeekfree=0.007574, SortExportsSeekfreeConstructor=0.092033, SortExportsSeekfreeInner=0.512004, SortExportsSeekfree=0.002913, BuildDependencyMap=0.007864, SerializeImportMap=0.009321, SerializeExportMap=0.007570, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.029819, SerializeExports=0.187851, SerializeBulkData=0.004370, MoveFile=23.452398, UnaccountedTime=0.219014, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
