CookerStat, GenerateAssetRegistry=0.145622, Initialize=0.555694, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_05DD21A349CA3C7C87C35CA979EE8600__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=8.456267, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EEA5C4FE4B503A578B2AF6B8BA7C0525__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=7.270034, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B44980384C461BAAE036D4B1742CF2B6__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=7.380705, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FDC9F2564298C910F2CF819713E964E1__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=6.887339, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E127C0204F9399575CD2C68AC5A7B8F8__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=8.440252, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5C6970FB49653AED640C8593A5F577AD__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=7.227220, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D1D79B444F2FC4BB74558B9C3F544B74__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=5.282000, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FDC8C8B348D65B95E2C1B9BA0C3604C3__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=7.570017, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_308D217D4311BCC538CC16B8A47DFB30__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=5.348116, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_75E77BC54C220F308CF2299945A1B52D__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=7.684763, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D83FF6B40D3C38AE417E98CB3661A98__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=4.707377, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
